"stateFIPS","State","Year","Value","Data Comment","Age Group"
"11","District of Columbia","2000","13.0%","","18 to 24"
"11","District of Columbia","2000","10.9%","","25 to 34"
"11","District of Columbia","2000","9.3%","","35 to 44"
"11","District of Columbia","2000","13.8%","","45 to 54"
"11","District of Columbia","2000","11.8%","","55 to 64"
"11","District of Columbia","2000","8.1%","","65 or older"
"11","District of Columbia","2001","13.8%","","18 to 24"
"11","District of Columbia","2001","14.7%","","25 to 34"
"11","District of Columbia","2001","11.9%","","35 to 44"
"11","District of Columbia","2001","12.8%","","45 to 54"
"11","District of Columbia","2001","9.8%","","55 to 64"
"11","District of Columbia","2001","8.3%","","65 or older"
"11","District of Columbia","2002","17.6%","","18 to 24"
"11","District of Columbia","2002","15.5%","","25 to 34"
"11","District of Columbia","2002","16.6%","","35 to 44"
"11","District of Columbia","2002","9.8%","","45 to 54"
"11","District of Columbia","2002","14.2%","","55 to 64"
"11","District of Columbia","2002","12.3%","","65 or older"
"11","District of Columbia","2003","19.6%","","18 to 24"
"11","District of Columbia","2003","14.3%","","25 to 34"
"11","District of Columbia","2003","9.8%","","35 to 44"
"11","District of Columbia","2003","12.1%","","45 to 54"
"11","District of Columbia","2003","12.0%","","55 to 64"
"11","District of Columbia","2003","9.6%","","65 or older"
"11","District of Columbia","2004","18.7%","","18 to 24"
"11","District of Columbia","2004","19.2%","","25 to 34"
"11","District of Columbia","2004","14.2%","","35 to 44"
"11","District of Columbia","2004","15.6%","","45 to 54"
"11","District of Columbia","2004","10.3%","","55 to 64"
"11","District of Columbia","2004","10.9%","","65 or older"
"11","District of Columbia","2005","24.8%","","18 to 24"
"11","District of Columbia","2005","18.0%","","25 to 34"
"11","District of Columbia","2005","12.2%","","35 to 44"
"11","District of Columbia","2005","12.0%","","45 to 54"
"11","District of Columbia","2005","13.8%","","55 to 64"
"11","District of Columbia","2005","11.3%","","65 or older"
"11","District of Columbia","2006","23.3%","","18 to 24"
"11","District of Columbia","2006","18.6%","","25 to 34"
"11","District of Columbia","2006","12.3%","","35 to 44"
"11","District of Columbia","2006","15.1%","","45 to 54"
"11","District of Columbia","2006","12.4%","","55 to 64"
"11","District of Columbia","2006","11.2%","","65 or older"
"11","District of Columbia","2007","16.2%","","18 to 24"
"11","District of Columbia","2007","17.3%","","25 to 34"
"11","District of Columbia","2007","16.5%","","35 to 44"
"11","District of Columbia","2007","15.5%","","45 to 54"
"11","District of Columbia","2007","13.1%","","55 to 64"
"11","District of Columbia","2007","11.4%","","65 or older"
"11","District of Columbia","2008","28.5%","","18 to 24"
"11","District of Columbia","2008","17.4%","","25 to 34"
"11","District of Columbia","2008","15.5%","","35 to 44"
"11","District of Columbia","2008","14.3%","","45 to 54"
"11","District of Columbia","2008","14.4%","","55 to 64"
"11","District of Columbia","2008","11.3%","","65 or older"
"11","District of Columbia","2009","25.5%","","18 to 24"
"11","District of Columbia","2009","17.1%","","25 to 34"
"11","District of Columbia","2009","14.8%","","35 to 44"
"11","District of Columbia","2009","14.8%","","45 to 54"
"11","District of Columbia","2009","15.1%","","55 to 64"
"11","District of Columbia","2009","12.9%","","65 or older"
"11","District of Columbia","2010","33.5%","","18 to 24"
"11","District of Columbia","2010","13.3%","","25 to 34"
"11","District of Columbia","2010","16.5%","","35 to 44"
"11","District of Columbia","2010","14.6%","","45 to 54"
"11","District of Columbia","2010","16.1%","","55 to 64"
"11","District of Columbia","2010","13.0%","","65 or older"
"12","Florida","1999","Data Not Collected","","18 to 24"
"12","Florida","1999","Data Not Collected","","25 to 34"
"12","Florida","1999","Data Not Collected","","35 to 44"
"12","Florida","1999","Data Not Collected","","45 to 54"
"12","Florida","1999","Data Not Collected","","55 to 64"
"12","Florida","1999","Data Not Collected","","65 or older"
"12","Florida","2000","13.4%","","18 to 24"
"12","Florida","2000","9.8%","","25 to 34"
"12","Florida","2000","7.4%","","35 to 44"
"12","Florida","2000","11.5%","","45 to 54"
"12","Florida","2000","7.5%","","55 to 64"
"12","Florida","2000","7.6%","","65 or older"
"12","Florida","2001","13.8%","","18 to 24"
"12","Florida","2001","11.4%","","25 to 34"
"12","Florida","2001","9.6%","","35 to 44"
"12","Florida","2001","9.3%","","45 to 54"
"12","Florida","2001","10.3%","","55 to 64"
"12","Florida","2001","7.3%","","65 or older"
"12","Florida","2002","16.1%","","18 to 24"
"12","Florida","2002","11.1%","","25 to 34"
"12","Florida","2002","10.1%","","35 to 44"
"12","Florida","2002","10.6%","","45 to 54"
"12","Florida","2002","9.6%","","55 to 64"
"12","Florida","2002","8.3%","","65 or older"
"12","Florida","2003","10.3%","","18 to 24"
"12","Florida","2003","9.9%","","25 to 34"
"12","Florida","2003","9.8%","","35 to 44"
"12","Florida","2003","12.2%","","45 to 54"
"12","Florida","2003","9.8%","","55 to 64"
"12","Florida","2003","9.2%","","65 or older"
"12","Florida","2004","15.8%","","18 to 24"
"12","Florida","2004","11.2%","","25 to 34"
"12","Florida","2004","13.1%","","35 to 44"
"12","Florida","2004","13.6%","","45 to 54"
"12","Florida","2004","14.1%","","55 to 64"
"12","Florida","2004","8.9%","","65 or older"
"12","Florida","2005","14.5%","","18 to 24"
"12","Florida","2005","10.5%","","25 to 34"
"12","Florida","2005","12.2%","","35 to 44"
"12","Florida","2005","11.1%","","45 to 54"
"12","Florida","2005","14.0%","","55 to 64"
"12","Florida","2005","9.8%","","65 or older"
"12","Florida","2006","12.6%","","18 to 24"
"12","Florida","2006","13.8%","","25 to 34"
"12","Florida","2006","11.6%","","35 to 44"
"12","Florida","2006","11.7%","","45 to 54"
"12","Florida","2006","11.4%","","55 to 64"
"12","Florida","2006","10.0%","","65 or older"
"12","Florida","2007","11.6%","","18 to 24"
"12","Florida","2007","11.7%","","25 to 34"
"12","Florida","2007","11.2%","","35 to 44"
"12","Florida","2007","10.4%","","45 to 54"
"12","Florida","2007","11.3%","","55 to 64"
"12","Florida","2007","9.1%","","65 or older"
"12","Florida","2008","16.7%","","18 to 24"
"12","Florida","2008","10.0%","","25 to 34"
"12","Florida","2008","8.3%","","35 to 44"
"12","Florida","2008","9.8%","","45 to 54"
"12","Florida","2008","11.2%","","55 to 64"
"12","Florida","2008","9.2%","","65 or older"
"12","Florida","2009","11.9%","","18 to 24"
"12","Florida","2009","13.2%","","25 to 34"
"12","Florida","2009","14.0%","","35 to 44"
"12","Florida","2009","10.5%","","45 to 54"
"12","Florida","2009","12.4%","","55 to 64"
"12","Florida","2009","9.0%","","65 or older"
"12","Florida","2010","24.0%","","18 to 24"
"12","Florida","2010","17.5%","","25 to 34"
"12","Florida","2010","12.4%","","35 to 44"
"12","Florida","2010","12.2%","","45 to 54"
"12","Florida","2010","13.5%","","55 to 64"
"12","Florida","2010","12.0%","","65 or older"
"13","Georgia","1999","Data Not Collected","","18 to 24"
"13","Georgia","1999","Data Not Collected","","25 to 34"
"13","Georgia","1999","Data Not Collected","","35 to 44"
"13","Georgia","1999","Data Not Collected","","45 to 54"
"13","Georgia","1999","Data Not Collected","","55 to 64"
"13","Georgia","1999","Data Not Collected","","65 or older"
"13","Georgia","2000","15.0%","","18 to 24"
"13","Georgia","2000","10.0%","","25 to 34"
"13","Georgia","2000","8.8%","","35 to 44"
"13","Georgia","2000","8.0%","","45 to 54"
"13","Georgia","2000","8.9%","","55 to 64"
"13","Georgia","2000","8.1%","","65 or older"
"13","Georgia","2001","14.3%","","18 to 24"
"13","Georgia","2001","10.6%","","25 to 34"
"13","Georgia","2001","10.5%","","35 to 44"
"13","Georgia","2001","10.0%","","45 to 54"
"13","Georgia","2001","11.3%","","55 to 64"
"13","Georgia","2001","10.1%","","65 or older"
"13","Georgia","2002","12.3%","","18 to 24"
"13","Georgia","2002","13.4%","","25 to 34"
"13","Georgia","2002","10.4%","","35 to 44"
"13","Georgia","2002","11.8%","","45 to 54"
"13","Georgia","2002","11.7%","","55 to 64"
"13","Georgia","2002","10.0%","","65 or older"
"13","Georgia","2003","16.3%","","18 to 24"
"13","Georgia","2003","14.3%","","25 to 34"
"13","Georgia","2003","9.4%","","35 to 44"
"13","Georgia","2003","10.8%","","45 to 54"
"13","Georgia","2003","10.1%","","55 to 64"
"13","Georgia","2003","10.4%","","65 or older"
"13","Georgia","2004","19.1%","","18 to 24"
"13","Georgia","2004","11.1%","","25 to 34"
"13","Georgia","2004","11.2%","","35 to 44"
"13","Georgia","2004","11.3%","","45 to 54"
"13","Georgia","2004","12.8%","","55 to 64"
"13","Georgia","2004","10.0%","","65 or older"
"13","Georgia","2005","15.7%","","18 to 24"
"13","Georgia","2005","12.8%","","25 to 34"
"13","Georgia","2005","9.8%","","35 to 44"
"13","Georgia","2005","9.9%","","45 to 54"
"13","Georgia","2005","11.7%","","55 to 64"
"13","Georgia","2005","9.9%","","65 or older"
"13","Georgia","2006","19.1%","","18 to 24"
"13","Georgia","2006","14.1%","","25 to 34"
"13","Georgia","2006","12.1%","","35 to 44"
"13","Georgia","2006","11.2%","","45 to 54"
"13","Georgia","2006","12.1%","","55 to 64"
"13","Georgia","2006","10.7%","","65 or older"
"13","Georgia","2007","13.2%","","18 to 24"
"13","Georgia","2007","12.7%","","25 to 34"
"13","Georgia","2007","10.5%","","35 to 44"
"13","Georgia","2007","14.0%","","45 to 54"
"13","Georgia","2007","12.5%","","55 to 64"
"13","Georgia","2007","10.9%","","65 or older"
"13","Georgia","2008","18.2%","","18 to 24"
"13","Georgia","2008","15.3%","","25 to 34"
"13","Georgia","2008","10.4%","","35 to 44"
"13","Georgia","2008","11.0%","","45 to 54"
"13","Georgia","2008","10.9%","","55 to 64"
"13","Georgia","2008","11.8%","","65 or older"
"13","Georgia","2009","21.6%","","18 to 24"
"13","Georgia","2009","12.5%","","25 to 34"
"13","Georgia","2009","8.2%","","35 to 44"
"13","Georgia","2009","10.8%","","45 to 54"
"13","Georgia","2009","11.1%","","55 to 64"
"13","Georgia","2009","9.1%","","65 or older"
"13","Georgia","2010","15.0%","","18 to 24"
"13","Georgia","2010","15.2%","","25 to 34"
"13","Georgia","2010","10.1%","","35 to 44"
"13","Georgia","2010","9.4%","","45 to 54"
"13","Georgia","2010","12.2%","","55 to 64"
"13","Georgia","2010","10.8%","","65 or older"
"15","Hawaii","1999","Data Not Collected","","18 to 24"
"15","Hawaii","1999","Data Not Collected","","25 to 34"
"15","Hawaii","1999","Data Not Collected","","35 to 44"
"15","Hawaii","1999","Data Not Collected","","45 to 54"
"15","Hawaii","1999","Data Not Collected","","55 to 64"
"15","Hawaii","1999","Data Not Collected","","65 or older"
"15","Hawaii","2000","16.2%","","18 to 24"
"15","Hawaii","2000","12.8%","","25 to 34"
"15","Hawaii","2000","11.8%","","35 to 44"
"15","Hawaii","2000","9.1%","","45 to 54"
"15","Hawaii","2000","8.8%","","55 to 64"
"15","Hawaii","2000","10.2%","","65 or older"
"15","Hawaii","2001","19.4%","","18 to 24"
"15","Hawaii","2001","9.0%","","25 to 34"
"15","Hawaii","2001","13.8%","","35 to 44"
"15","Hawaii","2001","15.8%","","45 to 54"
"15","Hawaii","2001","10.4%","","55 to 64"
"15","Hawaii","2001","6.8%","","65 or older"
"15","Hawaii","2002","13.8%","","18 to 24"
"15","Hawaii","2002","14.0%","","25 to 34"
"15","Hawaii","2002","13.5%","","35 to 44"
"15","Hawaii","2002","14.2%","","45 to 54"
"15","Hawaii","2002","16.0%","","55 to 64"
"15","Hawaii","2002","9.8%","","65 or older"
"15","Hawaii","2003","16.1%","","18 to 24"
"15","Hawaii","2003","12.8%","","25 to 34"
"15","Hawaii","2003","12.1%","","35 to 44"
"15","Hawaii","2003","10.7%","","45 to 54"
"15","Hawaii","2003","12.0%","","55 to 64"
"15","Hawaii","2003","7.7%","","65 or older"
"15","Hawaii","2004","Data Not Collected","","18 to 24"
"15","Hawaii","2004","Data Not Collected","","25 to 34"
"15","Hawaii","2004","Data Not Collected","","35 to 44"
"15","Hawaii","2004","Data Not Collected","","45 to 54"
"15","Hawaii","2004","Data Not Collected","","55 to 64"
"15","Hawaii","2004","Data Not Collected","","65 or older"
"15","Hawaii","2005","18.9%","","18 to 24"
"15","Hawaii","2005","17.5%","","25 to 34"
"15","Hawaii","2005","11.7%","","35 to 44"
"15","Hawaii","2005","13.5%","","45 to 54"
"15","Hawaii","2005","14.9%","","55 to 64"
"15","Hawaii","2005","10.2%","","65 or older"
"15","Hawaii","2006","22.3%","","18 to 24"
"15","Hawaii","2006","20.0%","","25 to 34"
"15","Hawaii","2006","14.4%","","35 to 44"
"15","Hawaii","2006","14.8%","","45 to 54"
"15","Hawaii","2006","17.3%","","55 to 64"
"15","Hawaii","2006","9.2%","","65 or older"
"15","Hawaii","2007","23.1%","","18 to 24"
"15","Hawaii","2007","13.0%","","25 to 34"
"15","Hawaii","2007","11.7%","","35 to 44"
"15","Hawaii","2007","14.0%","","45 to 54"
"15","Hawaii","2007","14.9%","","55 to 64"
"15","Hawaii","2007","9.5%","","65 or older"
"15","Hawaii","2008","27.4%","","18 to 24"
"15","Hawaii","2008","18.1%","","25 to 34"
"15","Hawaii","2008","14.3%","","35 to 44"
"15","Hawaii","2008","15.4%","","45 to 54"
"15","Hawaii","2008","15.2%","","55 to 64"
"15","Hawaii","2008","10.1%","","65 or older"
"15","Hawaii","2009","30.8%","","18 to 24"
"15","Hawaii","2009","15.6%","","25 to 34"
"15","Hawaii","2009","14.5%","","35 to 44"
"15","Hawaii","2009","16.6%","","45 to 54"
"15","Hawaii","2009","17.3%","","55 to 64"
"15","Hawaii","2009","11.6%","","65 or older"
"15","Hawaii","2010","23.4%","","18 to 24"
"15","Hawaii","2010","21.8%","","25 to 34"
"15","Hawaii","2010","15.4%","","35 to 44"
"15","Hawaii","2010","17.6%","","45 to 54"
"15","Hawaii","2010","16.9%","","55 to 64"
"15","Hawaii","2010","12.5%","","65 or older"
"16","Idaho","1999","13.9%","","18 to 24"
"16","Idaho","1999","13.4%","","25 to 34"
"16","Idaho","1999","10.7%","","35 to 44"
"16","Idaho","1999","10.3%","","45 to 54"
"16","Idaho","1999","10.4%","","55 to 64"
"16","Idaho","1999","9.8%","","65 or older"
"16","Idaho","2000","14.4%","","18 to 24"
"16","Idaho","2000","10.2%","","25 to 34"
"16","Idaho","2000","9.4%","","35 to 44"
"16","Idaho","2000","10.7%","","45 to 54"
"16","Idaho","2000","11.3%","","55 to 64"
"16","Idaho","2000","10.3%","","65 or older"
"16","Idaho","2001","12.9%","","18 to 24"
"16","Idaho","2001","13.3%","","25 to 34"
"16","Idaho","2001","12.1%","","35 to 44"
"16","Idaho","2001","8.9%","","45 to 54"
"16","Idaho","2001","12.7%","","55 to 64"
"16","Idaho","2001","11.1%","","65 or older"
"16","Idaho","2002","16.8%","","18 to 24"
"16","Idaho","2002","13.7%","","25 to 34"
"16","Idaho","2002","9.9%","","35 to 44"
"16","Idaho","2002","11.4%","","45 to 54"
"16","Idaho","2002","9.3%","","55 to 64"
"16","Idaho","2002","10.3%","","65 or older"
"16","Idaho","2003","11.6%","","18 to 24"
"16","Idaho","2003","9.4%","","25 to 34"
"16","Idaho","2003","11.9%","","35 to 44"
"16","Idaho","2003","14.0%","","45 to 54"
"16","Idaho","2003","13.6%","","55 to 64"
"16","Idaho","2003","10.1%","","65 or older"
"16","Idaho","2004","14.4%","","18 to 24"
"16","Idaho","2004","10.8%","","25 to 34"
"16","Idaho","2004","12.2%","","35 to 44"
"16","Idaho","2004","14.6%","","45 to 54"
"16","Idaho","2004","13.1%","","55 to 64"
"16","Idaho","2004","14.3%","","65 or older"
"16","Idaho","2005","14.4%","","18 to 24"
"16","Idaho","2005","13.2%","","25 to 34"
"16","Idaho","2005","12.0%","","35 to 44"
"16","Idaho","2005","11.1%","","45 to 54"
"16","Idaho","2005","11.4%","","55 to 64"
"16","Idaho","2005","8.5%","","65 or older"
"16","Idaho","2006","14.7%","","18 to 24"
"16","Idaho","2006","13.9%","","25 to 34"
"16","Idaho","2006","12.7%","","35 to 44"
"16","Idaho","2006","12.7%","","45 to 54"
"16","Idaho","2006","12.5%","","55 to 64"
"16","Idaho","2006","12.4%","","65 or older"
"16","Idaho","2007","13.5%","","18 to 24"
"16","Idaho","2007","16.4%","","25 to 34"
"16","Idaho","2007","11.2%","","35 to 44"
"16","Idaho","2007","11.1%","","45 to 54"
"16","Idaho","2007","12.8%","","55 to 64"
"16","Idaho","2007","13.7%","","65 or older"
"16","Idaho","2008","10.3%","","18 to 24"
"16","Idaho","2008","15.6%","","25 to 34"
"16","Idaho","2008","11.4%","","35 to 44"
"16","Idaho","2008","13.2%","","45 to 54"
"16","Idaho","2008","13.8%","","55 to 64"
"16","Idaho","2008","10.5%","","65 or older"
"16","Idaho","2009","19.6%","","18 to 24"
"16","Idaho","2009","10.2%","","25 to 34"
"16","Idaho","2009","13.8%","","35 to 44"
"16","Idaho","2009","12.0%","","45 to 54"
"16","Idaho","2009","10.8%","","55 to 64"
"16","Idaho","2009","12.0%","","65 or older"
"16","Idaho","2010","12.9%","","18 to 24"
"16","Idaho","2010","12.5%","","25 to 34"
"16","Idaho","2010","13.7%","","35 to 44"
"16","Idaho","2010","15.1%","","45 to 54"
"16","Idaho","2010","14.7%","","55 to 64"
"16","Idaho","2010","12.4%","","65 or older"
"17","Illinois","1999","Data Not Collected","","18 to 24"
"17","Illinois","1999","Data Not Collected","","25 to 34"
"17","Illinois","1999","Data Not Collected","","35 to 44"
"17","Illinois","1999","Data Not Collected","","45 to 54"
"17","Illinois","1999","Data Not Collected","","55 to 64"
"17","Illinois","1999","Data Not Collected","","65 or older"
"17","Illinois","2000","15.0%","","18 to 24"
"17","Illinois","2000","13.2%","","25 to 34"
"17","Illinois","2000","10.1%","","35 to 44"
"17","Illinois","2000","7.4%","","45 to 54"
"17","Illinois","2000","7.0%","","55 to 64"
"17","Illinois","2000","10.9%","","65 or older"
"17","Illinois","2001","19.1%","","18 to 24"
"17","Illinois","2001","13.6%","","25 to 34"
"17","Illinois","2001","9.8%","","35 to 44"
"17","Illinois","2001","8.7%","","45 to 54"
"17","Illinois","2001","11.0%","","55 to 64"
"17","Illinois","2001","7.9%","","65 or older"
"17","Illinois","2002","15.6%","","18 to 24"
"17","Illinois","2002","11.4%","","25 to 34"
"17","Illinois","2002","7.3%","","35 to 44"
"17","Illinois","2002","11.5%","","45 to 54"
"17","Illinois","2002","10.3%","","55 to 64"
"17","Illinois","2002","9.8%","","65 or older"
"17","Illinois","2003","11.6%","","18 to 24"
"17","Illinois","2003","13.7%","","25 to 34"
"17","Illinois","2003","10.1%","","35 to 44"
"17","Illinois","2003","10.3%","","45 to 54"
"17","Illinois","2003","12.4%","","55 to 64"
"17","Illinois","2003","8.8%","","65 or older"
"17","Illinois","2004","17.8%","","18 to 24"
"17","Illinois","2004","14.8%","","25 to 34"
"17","Illinois","2004","10.6%","","35 to 44"
"17","Illinois","2004","11.4%","","45 to 54"
"17","Illinois","2004","13.4%","","55 to 64"
"17","Illinois","2004","11.9%","","65 or older"
"17","Illinois","2005","12.0%","","18 to 24"
"17","Illinois","2005","12.1%","","25 to 34"
"17","Illinois","2005","10.0%","","35 to 44"
"17","Illinois","2005","10.6%","","45 to 54"
"17","Illinois","2005","11.0%","","55 to 64"
"17","Illinois","2005","8.2%","","65 or older"
"17","Illinois","2006","20.0%","","18 to 24"
"17","Illinois","2006","13.1%","","25 to 34"
"17","Illinois","2006","11.2%","","35 to 44"
"17","Illinois","2006","12.5%","","45 to 54"
"17","Illinois","2006","12.6%","","55 to 64"
"17","Illinois","2006","10.3%","","65 or older"
"17","Illinois","2007","24.0%","","18 to 24"
"17","Illinois","2007","14.4%","","25 to 34"
"17","Illinois","2007","9.1%","","35 to 44"
"17","Illinois","2007","11.1%","","45 to 54"
"17","Illinois","2007","11.3%","","55 to 64"
"17","Illinois","2007","10.5%","","65 or older"
"17","Illinois","2008","20.8%","","18 to 24"
"17","Illinois","2008","14.5%","","25 to 34"
"17","Illinois","2008","12.3%","","35 to 44"
"17","Illinois","2008","11.0%","","45 to 54"
"17","Illinois","2008","11.5%","","55 to 64"
"17","Illinois","2008","10.9%","","65 or older"
"17","Illinois","2009","17.4%","","18 to 24"
"17","Illinois","2009","15.0%","","25 to 34"
"17","Illinois","2009","11.7%","","35 to 44"
"17","Illinois","2009","12.7%","","45 to 54"
"17","Illinois","2009","12.3%","","55 to 64"
"17","Illinois","2009","11.2%","","65 or older"
"17","Illinois","2010","20.9%","","18 to 24"
"17","Illinois","2010","15.7%","","25 to 34"
"17","Illinois","2010","14.6%","","35 to 44"
"17","Illinois","2010","10.9%","","45 to 54"
"17","Illinois","2010","11.3%","","55 to 64"
"17","Illinois","2010","11.4%","","65 or older"
"18","Indiana","1999","Data Not Collected","","18 to 24"
"18","Indiana","1999","Data Not Collected","","25 to 34"
"18","Indiana","1999","Data Not Collected","","35 to 44"
"18","Indiana","1999","Data Not Collected","","45 to 54"
"18","Indiana","1999","Data Not Collected","","55 to 64"
"18","Indiana","1999","Data Not Collected","","65 or older"
"18","Indiana","2000","20.4%","","18 to 24"
"18","Indiana","2000","10.2%","","25 to 34"
"18","Indiana","2000","9.6%","","35 to 44"
"18","Indiana","2000","10.2%","","45 to 54"
"18","Indiana","2000","9.5%","","55 to 64"
"18","Indiana","2000","9.2%","","65 or older"
"18","Indiana","2001","15.0%","","18 to 24"
"18","Indiana","2001","13.2%","","25 to 34"
"18","Indiana","2001","11.5%","","35 to 44"
"18","Indiana","2001","10.8%","","45 to 54"
"18","Indiana","2001","8.5%","","55 to 64"
"18","Indiana","2001","9.3%","","65 or older"
"18","Indiana","2002","13.6%","","18 to 24"
"18","Indiana","2002","12.7%","","25 to 34"
"18","Indiana","2002","11.9%","","35 to 44"
"18","Indiana","2002","10.6%","","45 to 54"
"18","Indiana","2002","9.6%","","55 to 64"
"18","Indiana","2002","9.2%","","65 or older"
"18","Indiana","2003","16.8%","","18 to 24"
"18","Indiana","2003","13.2%","","25 to 34"
"18","Indiana","2003","10.9%","","35 to 44"
"18","Indiana","2003","11.4%","","45 to 54"
"18","Indiana","2003","10.8%","","55 to 64"
"18","Indiana","2003","9.8%","","65 or older"
"18","Indiana","2004","15.9%","","18 to 24"
"18","Indiana","2004","15.0%","","25 to 34"
"18","Indiana","2004","11.0%","","35 to 44"
"18","Indiana","2004","13.8%","","45 to 54"
"18","Indiana","2004","13.5%","","55 to 64"
"18","Indiana","2004","11.8%","","65 or older"
"18","Indiana","2005","17.3%","","18 to 24"
"18","Indiana","2005","13.4%","","25 to 34"
"18","Indiana","2005","11.8%","","35 to 44"
"18","Indiana","2005","12.0%","","45 to 54"
"18","Indiana","2005","11.6%","","55 to 64"
"18","Indiana","2005","10.5%","","65 or older"
"18","Indiana","2006","16.4%","","18 to 24"
"18","Indiana","2006","15.0%","","25 to 34"
"18","Indiana","2006","10.9%","","35 to 44"
"18","Indiana","2006","13.4%","","45 to 54"
"18","Indiana","2006","13.4%","","55 to 64"
"18","Indiana","2006","8.4%","","65 or older"
"18","Indiana","2007","18.2%","","18 to 24"
"18","Indiana","2007","11.3%","","25 to 34"
"18","Indiana","2007","11.8%","","35 to 44"
"18","Indiana","2007","14.6%","","45 to 54"
"18","Indiana","2007","15.0%","","55 to 64"
"18","Indiana","2007","10.1%","","65 or older"
"18","Indiana","2008","14.8%","","18 to 24"
"18","Indiana","2008","17.6%","","25 to 34"
"18","Indiana","2008","11.3%","","35 to 44"
"18","Indiana","2008","12.6%","","45 to 54"
"18","Indiana","2008","14.8%","","55 to 64"
"18","Indiana","2008","11.9%","","65 or older"
"18","Indiana","2009","17.7%","","18 to 24"
"18","Indiana","2009","12.5%","","25 to 34"
"18","Indiana","2009","14.0%","","35 to 44"
"18","Indiana","2009","13.5%","","45 to 54"
"18","Indiana","2009","12.5%","","55 to 64"
"18","Indiana","2009","9.5%","","65 or older"
"18","Indiana","2010","17.1%","","18 to 24"
"18","Indiana","2010","17.8%","","25 to 34"
"18","Indiana","2010","14.6%","","35 to 44"
"18","Indiana","2010","12.6%","","45 to 54"
"18","Indiana","2010","13.1%","","55 to 64"
"18","Indiana","2010","10.8%","","65 or older"
"19","Iowa","1999","15.8%","","18 to 24"
"19","Iowa","1999","11.3%","","25 to 34"
"19","Iowa","1999","8.7%","","35 to 44"
"19","Iowa","1999","10.6%","","45 to 54"
"19","Iowa","1999","12.0%","","55 to 64"
"19","Iowa","1999","12.4%","","65 or older"
"19","Iowa","2000","10.3%","","18 to 24"
"19","Iowa","2000","9.6%","","25 to 34"
"19","Iowa","2000","7.9%","","35 to 44"
"19","Iowa","2000","9.2%","","45 to 54"
"19","Iowa","2000","6.9%","","55 to 64"
"19","Iowa","2000","7.4%","","65 or older"
"19","Iowa","2001","16.0%","","18 to 24"
"19","Iowa","2001","11.5%","","25 to 34"
"19","Iowa","2001","9.5%","","35 to 44"
"19","Iowa","2001","9.0%","","45 to 54"
"19","Iowa","2001","5.5%","","55 to 64"
"19","Iowa","2001","7.6%","","65 or older"
"19","Iowa","2002","10.0%","","18 to 24"
"19","Iowa","2002","10.1%","","25 to 34"
"19","Iowa","2002","10.9%","","35 to 44"
"19","Iowa","2002","8.0%","","45 to 54"
"19","Iowa","2002","8.0%","","55 to 64"
"19","Iowa","2002","7.3%","","65 or older"
"19","Iowa","2003","14.1%","","18 to 24"
"19","Iowa","2003","13.2%","","25 to 34"
"19","Iowa","2003","9.1%","","35 to 44"
"19","Iowa","2003","10.4%","","45 to 54"
"19","Iowa","2003","7.9%","","55 to 64"
"19","Iowa","2003","7.8%","","65 or older"
"19","Iowa","2004","13.4%","","18 to 24"
"19","Iowa","2004","10.5%","","25 to 34"
"19","Iowa","2004","10.5%","","35 to 44"
"19","Iowa","2004","10.3%","","45 to 54"
"19","Iowa","2004","9.1%","","55 to 64"
"19","Iowa","2004","9.8%","","65 or older"
"19","Iowa","2005","20.2%","","18 to 24"
"19","Iowa","2005","13.1%","","25 to 34"
"19","Iowa","2005","10.3%","","35 to 44"
"19","Iowa","2005","9.9%","","45 to 54"
"19","Iowa","2005","10.2%","","55 to 64"
"19","Iowa","2005","8.6%","","65 or older"
"19","Iowa","2006","12.0%","","18 to 24"
"19","Iowa","2006","9.3%","","25 to 34"
"19","Iowa","2006","8.5%","","35 to 44"
"19","Iowa","2006","10.6%","","45 to 54"
"19","Iowa","2006","8.9%","","55 to 64"
"19","Iowa","2006","9.2%","","65 or older"
"19","Iowa","2007","14.3%","","18 to 24"
"19","Iowa","2007","11.3%","","25 to 34"
"19","Iowa","2007","9.0%","","35 to 44"
"19","Iowa","2007","8.7%","","45 to 54"
"19","Iowa","2007","10.3%","","55 to 64"
"19","Iowa","2007","8.9%","","65 or older"
"19","Iowa","2008","15.1%","","18 to 24"
"19","Iowa","2008","12.2%","","25 to 34"
"19","Iowa","2008","9.7%","","35 to 44"
"19","Iowa","2008","9.8%","","45 to 54"
"19","Iowa","2008","9.3%","","55 to 64"
"19","Iowa","2008","9.2%","","65 or older"
"19","Iowa","2009","13.3%","","18 to 24"
"19","Iowa","2009","13.8%","","25 to 34"
"19","Iowa","2009","9.0%","","35 to 44"
"19","Iowa","2009","9.8%","","45 to 54"
"19","Iowa","2009","8.7%","","55 to 64"
"19","Iowa","2009","9.2%","","65 or older"
"19","Iowa","2010","15.7%","","18 to 24"
"19","Iowa","2010","13.9%","","25 to 34"
"19","Iowa","2010","11.1%","","35 to 44"
"19","Iowa","2010","10.4%","","45 to 54"
"19","Iowa","2010","11.7%","","55 to 64"
"19","Iowa","2010","9.0%","","65 or older"
"20","Kansas","1999","Data Not Collected","","18 to 24"
"20","Kansas","1999","Data Not Collected","","25 to 34"
"20","Kansas","1999","Data Not Collected","","35 to 44"
"20","Kansas","1999","Data Not Collected","","45 to 54"
"20","Kansas","1999","Data Not Collected","","55 to 64"
